name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
WESTERNC 防水外套 ,22,服飾鞋包類,153,女裝,,,,,
噴油嘴清潔劑 2PK ,15,日用百貨類,110,家庭清潔用品,清潔,,,,
#37698 回饋金 ,7,鮮食類,44,米飯類,,,,,
#131705回饋金 ,7,鮮食類,44,米飯類,,,,,
S.P. 印花方形枕二 ,24,傢俱/家飾類,163,寢具,,,,,
BK-細看建築 ,20,書本/文教用品類,139,書籍,,,,,
COUPON FOR #94941 ,21,3C類,143,手機/通訊/週邊,,,,,
叢林軌道遊戲桌 ,20,書本/文教用品類,139,書籍,,,,,
雲霧之灣夏多內白 ,20,書本/文教用品類,139,書籍,,,,,
186490回饋金 ,7,鮮食類,44,米飯類,,,,,
黑珍珠蓮霧 ,10,生鮮食品類,63,生鮮水果,,,,,
#129701 回饋金 ,7,鮮食類,44,米飯類,,,,,
#132713 回饋金 ,7,鮮食類,44,米飯類,,,,,
MEN'S ,20,書本/文教用品類,141,文教用品,N,,,,
EC來復易夜用尿片 ,15,日用百貨類,108,民生紙品,片,復,來,易,
HURLEY 男上衣 ,22,服飾鞋包類,154,男裝,男,,,,
RBK-FOOD超人 ,16,洗浴清潔/保養類,121,身體清潔/保養,,,,,
IDESIGN收納盒 ,21,3C類,143,手機/通訊/週邊,,,,,
乳酪核桃麵包2CT ,6,冰品類,32,冰棒/雪糕,,,,,
ECBK- 看笑話學成 ,20,書本/文教用品類,139,書籍,,,,,
辣蝦煨麵 ,14,民生食材類,100,泡麵,麵,蝦,,,
1544480  回饋金 ,7,鮮食類,44,米飯類,,,,,
#1463237 回饋金 ,7,鮮食類,44,米飯類,,,,,
CAT LED 燈組 ,18,戶外休閒用品類,131,戶外露營,組,,,,
BREF 馬桶清潔球 ,15,日用百貨類,110,家庭清潔用品,清潔,,,,
APPLE AIRPODS 3 ,21,3C類,143,手機/通訊/週邊,,,,,
冷凍喜知次魚 ,11,冷凍食品類,76,冷凍微波料理,冷凍,,,,
DR.MARTENS女靴 ,22,服飾鞋包類,149,品牌鞋款,,,,,
玫瑰花束19支 ,6,冰品類,33,冰淇淋,,,,,
S.T.DUCK女外套 ,22,服飾鞋包類,153,女裝,,,,,
針織棉QN 6件組 ,24,傢俱/家飾類,163,寢具,,,,,
炫閃晶日拋5.75 ,21,3C類,146,相機/攝影/DV,,,,,
TRONQUOY LALANDE13 ,21,3C類,143,手機/通訊/週邊,,,,,
CHARLES KRUG NAPA ,21,3C類,143,手機/通訊/週邊,,,,,
沐浴乳回饋金 ,16,洗浴清潔/保養類,121,身體清潔/保養,沐浴乳,沐浴,,,
璀璨啡日拋2.00 ,17,寵物用品類,129,寵物用品,,,,,
#1518186 回饋金 ,7,鮮食類,44,米飯類,,,,,
47L 感應垃圾桶 ,15,日用百貨類,110,家庭清潔用品,垃圾桶,L,感應,垃圾,
COUPON FOR #294541 ,21,3C類,143,手機/通訊/週邊,5,2,,,
#127243回饋金 ,7,鮮食類,44,米飯類,,,,,
BK-茶金歲月 ,20,書本/文教用品類,139,書籍,月,,,,
RBK-幼幼童話觸摸 ,20,書本/文教用品類,139,書籍,,,,,
#131314回饋金 ,7,鮮食類,44,米飯類,,,,,
CK男內褲3入 ,22,服飾鞋包類,151,男女內著,褲,男,內褲,,
蘇菲極上夜用 40CM ,16,洗浴清潔/保養類,119,女性衛生用品,夜用,,,,
LEVI'S男短袖３入 ,22,服飾鞋包類,155,個人服飾配件,,,,,
CHATEAU ORMES PEZ ,21,3C類,143,手機/通訊/週邊,,,,,
洗衣籃折價券 ,19,家電類,133,大型家電,,,,,
FILA男運動鞋 ,22,服飾鞋包類,149,品牌鞋款,運動鞋,鞋,男,,
EC 虎牌壓力 IH 鍋 ,15,日用百貨類,114,餐廚用品,,,,,
COUPON FOR #116988 ,21,3C類,143,手機/通訊/週邊,,,,,
ECBAYSIDE 儲物櫃 ,19,家電類,135,生活家電,,,,,
EC LENOVO M70T PC ,21,3C類,143,手機/通訊/週邊,,,,,
俏正美BB回饋金 ,22,服飾鞋包類,155,個人服飾配件,美,,,,
IPADMINI6 64G星 ,21,3C類,143,手機/通訊/週邊,,,,,
TCL 75P725顯示器 ,19,家電類,137,視聽娛樂家電,顯示器,,,,
舒潔衛生紙折價 ,15,日用百貨類,108,民生紙品,衛生紙,舒潔,紙,,
#132413 回饋金 ,7,鮮食類,44,米飯類,,,,,
#132376  回饋金 ,7,鮮食類,44,米飯類,,,,,
PRI.ST.COME白酒 ,26,禮盒類,176,禮盒,,,,,
米其林20吋雨刷 ,15,日用百貨類,115,汽機車用品類,,,,,
#133038 回饋金 ,7,鮮食類,44,米飯類,,,,,
HURLEY男上衣 ,22,服飾鞋包類,154,男裝,男,,,,
伊萊克斯洗脫烘 ,19,家電類,133,大型家電,,,,,
#125014回饋金 ,7,鮮食類,44,米飯類,,,,,
IRC FOR #226351 ,21,3C類,143,手機/通訊/週邊,5,2,,,
132882回饋金 ,7,鮮食類,44,米飯類,,,,,
COUPON FOR #109652 ,21,3C類,143,手機/通訊/週邊,5,2,,,
EC OMNIA PRO KIT ,21,3C類,143,手機/通訊/週邊,,,,,
IT義大利綠奇異果 ,10,生鮮食品類,62,生鮮蔬菜,,,,,
#128935 回饋金 ,7,鮮食類,44,米飯類,,,,,
#132359 回饋金 ,7,鮮食類,44,米飯類,,,,,
深邃黑日拋6.50 ,2,飲料類,8,茶飲,5,,,,
EC F.D. 女外套 ,22,服飾鞋包類,153,女裝,,,,,
PENTEL 鋼筆 +6 墨 ,20,書本/文教用品類,141,文教用品,N,,,,
ANTINORI紅葡萄酒 ,25,菸酒類,172,紅白酒,酒,,,,
EC COUPON #3161247 ,21,3C類,143,手機/通訊/週邊,2,,,,
AIR4 256G 灰 ,18,戶外休閒用品類,130,運動健身,,,,,
132204  回饋金 ,7,鮮食類,44,米飯類,,,,,
STOLZLE酒杯組 ,15,日用百貨類,114,餐廚用品,杯,,,,
#116478 ,21,3C類,143,手機/通訊/週邊,,,,,
COUPON #199766 ,21,3C類,143,手機/通訊/週邊,,,,,
KS波本S.BARREL ,21,3C類,143,手機/通訊/週邊,,,,,
善存女回饋金 ,20,書本/文教用品類,139,書籍,,,,,
130734回饋金 ,7,鮮食類,44,米飯類,,,,,
IT 奇異果回饋金 ,10,生鮮食品類,63,生鮮水果,,,,,
#167394回饋金 ,7,鮮食類,44,米飯類,,,,,
SANITIZER  回饋金 ,7,鮮食類,44,米飯類,,,,,
馬牌215/55 R18 ,7,鮮食類,44,米飯類,,,,,
#129565 回饋金 ,7,鮮食類,44,米飯類,,,,,
電池回饋金 ,19,家電類,138,電池充電相關,,,,,
COUPON FOR #56686 ,21,3C類,143,手機/通訊/週邊,5,,,,
BK-終極武器百科 ,20,書本/文教用品類,139,書籍,,,,,
M795機車DVR+32G ,19,家電類,135,生活家電,3,,,,
九陽豆漿機K96 ,5,豆米漿/植物奶,27,豆漿,漿,,,,
EC 水洗被 LINE ,24,傢俱/家飾類,163,寢具,被,,,,
M.C. 編織減壓地墊 ,24,傢俱/家飾類,162,家飾,,,,,
SERENE墨竹香氛機 ,20,書本/文教用品類,140,數位內容,,,,,
LOUIS.M.MARTIN ,21,3C類,143,手機/通訊/週邊,,,,,
EC S. SD 256G ,21,3C類,143,手機/通訊/週邊,5,2,,,
科克蘭男POLO衫 ,22,服飾鞋包類,155,個人服飾配件,,,,,
COUPON BODYWASH ,21,3C類,143,手機/通訊/週邊,,,,,
BLUEAIR 清淨機 ,15,日用百貨類,110,家庭清潔用品,機,L,,,
#1250042 回饋金 ,7,鮮食類,44,米飯類,,,,,
貝禮詩草莓風味 ,13,點心/零食類,94,其他零食,味,風味,,,
#127235 回饋金 ,7,鮮食類,44,米飯類,,,,,
1420081  回饋金 ,7,鮮食類,44,米飯類,,,,,
ECMONCHATEAU 地毯 ,24,傢俱/家飾類,162,家飾,,,,,
HEINZ KETCHUP ,21,3C類,143,手機/通訊/週邊,,,,,
126706立即回饋金 ,7,鮮食類,44,米飯類,,,,,
COUPON FOR #310863 ,21,3C類,143,手機/通訊/週邊,,,,,
#130250 回饋金 ,7,鮮食類,44,米飯類,,,,,
泰式奶茶冰沙 ,1,咖啡類,1,現做咖啡飲品,冰,奶茶,茶,,
RUHLMANN RIESLING ,21,3C類,143,手機/通訊/週邊,,,,,
RENNARD 16 吋童車 ,18,戶外休閒用品類,132,行李箱/配件,,,,,
SIGNATURE馬克杯 ,15,日用百貨類,114,餐廚用品,杯,,,,
#1560455 回饋金 ,7,鮮食類,44,米飯類,,,,,
T.V. 男休閒長褲 ,22,服飾鞋包類,154,男裝,男,休閒,褲,,
樂益活寵物折價券 ,17,寵物用品類,129,寵物用品,寵物,,,,
#68068回饋金 ,7,鮮食類,44,米飯類,,,,,
M2R 3/4 頭盔 XL ,21,3C類,143,手機/通訊/週邊,2,,,,
米其林26吋雨刷 ,15,日用百貨類,115,汽機車用品類,,,,,
LEGO樹屋 ,20,書本/文教用品類,141,文教用品,,,,,
杜亨酒莊亞瑟白酒 ,25,菸酒類,170,調酒,酒,,,,
雷諾瓦拼圖Ａ區 ,20,書本/文教用品類,141,文教用品,,,,,
#131297回饋金 ,7,鮮食類,44,米飯類,,,,,
ANOLON X 單柄湯鍋 ,15,日用百貨類,114,餐廚用品,,,,,
BK-微生物歷險記 ,20,書本/文教用品類,139,書籍,,,,,
FURLA鏡框VFU505 ,21,3C類,146,相機/攝影/DV,,,,,
BROOKSTONE瀝水架 ,15,日用百貨類,114,餐廚用品,,,,,
J&J ASTIG-650-175* ,21,3C類,143,手機/通訊/週邊,5,,,,
紐西蘭香梨2.2KG ,20,書本/文教用品類,139,書籍,,,,,
NATUZZIGROUP沙發 ,19,家電類,135,生活家電,,,,,
貓倍麗肉泥折價券 ,17,寵物用品類,128,其他寵物食品,,,,,
EC 大成冷凍雞爪 ,11,冷凍食品類,76,冷凍微波料理,C,冷凍,雞,,
A4 圖畫紙 250 張 ,20,書本/文教用品類,139,書籍,,,,,
ECBK- 程式特攻隊 ,20,書本/文教用品類,139,書籍,,,,,
鮮奶油布里乾酪 ,13,點心/零食類,81,餅乾,,,,,
智利白甜桃1.8KG ,8,烘焙/甜點類,57,蛋糕,1,,,,
產履茂谷柑回饋金 ,10,生鮮食品類,63,生鮮水果,,,,,
#79731 回饋金 ,7,鮮食類,44,米飯類,,,,,
DELON+ 進口化妝棉 ,18,戶外休閒用品類,131,戶外露營,,,,,
米其林195/50 R16 ,14,民生食材類,103,米,,,,,
科克蘭日拋7.50 ,20,書本/文教用品類,141,文教用品,日,,,,
IPADMINI6 256G 灰 ,18,戶外休閒用品類,130,運動健身,,,,,
EC COUPON 1469800 ,21,3C類,143,手機/通訊/週邊,,,,,
COUPON FOR #98701 ,21,3C類,143,手機/通訊/週邊,,,,,
AHC 保濕機能水 ,12,保健食品類,79,美肌/纖體,,,,,
CETAPHIL 潔膚凝脂 ,16,洗浴清潔/保養類,125,美容保養,,,,,
EC RAZER 無線滑鼠 ,21,3C類,144,桌機/筆電/平板,,,,,
MONTBLANC 太陽 31S ,18,戶外休閒用品類,130,運動健身,,,,,
KS 巧克力禮盒 ,13,點心/零食類,94,其他零食,禮盒,S,,,
EC COUPON 132456 ,21,3C類,143,手機/通訊/週邊,5,2,,,
COUPON FOR 1480920 ,21,3C類,143,手機/通訊/週邊,2,,,,
EC 3M 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC EPOCH 6'' 崁燈 ,19,家電類,135,生活家電,,,,,
SDI 省力釘書機 6CT ,20,書本/文教用品類,141,文教用品,,,,,
冷凍台灣鴨肉切塊 ,10,生鮮食品類,64,生鮮肉品,冷凍,,,,
#133773 回饋金 ,7,鮮食類,44,米飯類,,,,,
ARTIKA LED吸頂燈 ,19,家電類,135,生活家電,,,,,
#130974 回饋金 ,7,鮮食類,44,米飯類,,,,,
ECBK- 歷史 FUN ,14,民生食材類,103,米,,,,,
#7771006 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC 岩谷超薄卡式爐 ,15,日用百貨類,114,餐廚用品,,,,,
24K虎彌月禮 ,23,精品類,161,黃金,,,,,
PENFOLDS 138 ,21,3C類,143,手機/通訊/週邊,,,,,
IRC FOR PEANUT BTR ,21,3C類,143,手機/通訊/週邊,,,,,
IRC #134980 ,21,3C類,143,手機/通訊/週邊,,,,,
機植之丘頭皮凝膠 ,16,洗浴清潔/保養類,125,美容保養,,,,,
1420149  回饋金 ,7,鮮食類,44,米飯類,,,,,
IRC FOR 1399805 ,21,3C類,143,手機/通訊/週邊,5,,,,
PALLADIUM女靴 ,22,服飾鞋包類,149,品牌鞋款,,,,,
PINNACLE 32冰桶 ,18,戶外休閒用品類,131,戶外露營,,,,,
ANKY手錶回饋金 ,23,精品類,160,手錶,,,,,
BS 225/60 R17 99V ,21,3C類,143,手機/通訊/週邊,5,2,,,
#128935 EC 回饋金 ,7,鮮食類,44,米飯類,,,,,
IRC FOR 8509326 ,21,3C類,143,手機/通訊/週邊,5,2,,,
JETSON 三輪滑板車 ,18,戶外休閒用品類,132,行李箱/配件,,,,,
EC 大成棒棒腿 5 KG ,18,戶外休閒用品類,130,運動健身,,,,,
JIMMY太陽眼鏡 ,23,精品類,159,精品／飾品,眼鏡,太陽,,,
RBK-宇宙大圖鑑 ,20,書本/文教用品類,139,書籍,,,,,
#999984回饋金 ,7,鮮食類,44,米飯類,,,,,
KS 女連帽輕量外套 ,22,服飾鞋包類,153,女裝,,,,,
老花拋HIGH 4.00 ,10,生鮮食品類,67,冷藏調理,,,,,
#134091 回饋金 ,7,鮮食類,44,米飯類,,,,,
IRC #130955 ,21,3C類,143,手機/通訊/週邊,5,,,,
#132375 回饋金 ,7,鮮食類,44,米飯類,,,,,
#126250 回饋金 ,7,鮮食類,44,米飯類,,,,,
IPADMINI6 64G 紫 ,18,戶外休閒用品類,130,運動健身,,,,,
EC MILL 葉片暖器 ,21,3C類,144,桌機/筆電/平板,,,,,
ECBK- 進階肌力訓 ,18,戶外休閒用品類,130,運動健身,肌,,,,
KS 24YO S.M.SCOTCH ,21,3C類,143,手機/通訊/週邊,2,,,,
E.A. 男 POLO 衫 ,22,服飾鞋包類,154,男裝,男,,,,
EC 寵物推車 ,17,寵物用品類,129,寵物用品,寵物,,,,
潔美淨私密凝露 ,16,洗浴清潔/保養類,121,身體清潔/保養,,,,,
豪雅維納斯單1.6 ,23,精品類,160,手錶,,,,,
IRC FOR #1232490 ,21,3C類,143,手機/通訊/週邊,2,,,,
COUPON FOR 1293996 ,21,3C類,143,手機/通訊/週邊,2,,,,
EC TP LINK X55 1PK ,21,3C類,143,手機/通訊/週邊,5,,,,
#133828  回饋金 ,7,鮮食類,44,米飯類,,,,,
#1505304 回饋金 ,7,鮮食類,44,米飯類,,,,,
JD TRAVEL BAG ,21,3C類,143,手機/通訊/週邊,,,,,
TOMS牙膏牙刷組 ,16,洗浴清潔/保養類,122,口腔保健,牙膏,牙刷,,,
TALAVERA碗十件組 ,15,日用百貨類,114,餐廚用品,碗,,,,
EC 15W 支架燈自 ,21,3C類,143,手機/通訊/週邊,支,5,,,
EC CHARMIN 折價 ,10,生鮮食品類,62,生鮮蔬菜,C,折,,,
EC PURAD'OR 洗潤 ,16,洗浴清潔/保養類,120,髮部清潔/保養,洗,潤,,,
機植之丘洗髮乳2P ,16,洗浴清潔/保養類,120,髮部清潔/保養,髮,洗,乳,,
米其林19吋雨刷 ,15,日用百貨類,115,汽機車用品類,,,,,
RBK-生物大圖鑑 ,20,書本/文教用品類,139,書籍,,,,,
#1551336 回饋金 ,7,鮮食類,44,米飯類,,,,,
#123799回饋金 ,7,鮮食類,44,米飯類,,,,,
莫恩斯特乾酪 ,20,書本/文教用品類,139,書籍,,,,,
PREZA8 LI助聽器 ,12,保健食品類,80,醫材/藥品,,,,,
米其林 18 吋雨刷 ,15,日用百貨類,115,汽機車用品類,,,,,
1527686回饋金 ,7,鮮食類,44,米飯類,,,,,
CASA 針織小靠墊 ,24,傢俱/家飾類,163,寢具,,,,,
EC 美則三效洗碗球 ,15,日用百貨類,110,家庭清潔用品,洗碗,,,,
黃金項鍊300厘 ,23,精品類,161,黃金,黃,金,,,
#631007回饋金 ,7,鮮食類,44,米飯類,,,,,
#135659 回饋金 ,7,鮮食類,44,米飯類,,,,,
立即回饋金$300 ,7,鮮食類,44,米飯類,,,,,
KS  初榨橄欖油 ,14,民生食材類,95,料理調味,橄欖油,初榨,KS,,
COUPON FOR #109534 ,21,3C類,143,手機/通訊/週邊,5,,,,
CHINOOK睡袋 ,18,戶外休閒用品類,131,戶外露營,,,,,
EC 雙面移動收納架 ,15,日用百貨類,113,嬰幼兒用品,收納,,,,
3M NEXCARE OK 繃 ,12,保健食品類,80,醫材/藥品,,,,,
折價券義美厚豆奶 ,2,飲料類,8,茶飲,,,,,
EC REFRESH  精華 ,16,洗浴清潔/保養類,125,美容保養,,,,,
冷凍有機玉米粒 ,11,冷凍食品類,70,冷凍蔬菜,冷凍,有機,玉米,有,
Q-TIPS COUPON ,21,3C類,143,手機/通訊/週邊,,,,,
#124372  回饋金 ,7,鮮食類,44,米飯類,,,,,
ADIDAS男長袖外套 ,22,服飾鞋包類,154,男裝,男,,,,
愛爾康星鑽棕1.75 ,19,家電類,135,生活家電,鑽,,,,
BK-皮膚營養學全 ,20,書本/文教用品類,139,書籍,,,,,
RBK-恐龍視覺大圖 ,20,書本/文教用品類,139,書籍,,,,,
32 DEGREES 女雨衣 ,15,日用百貨類,115,汽機車用品類,雨衣,,,,
KS 高球手套４入 ,18,戶外休閒用品類,130,運動健身,,,,,
助聽器電池 13 號 ,21,3C類,147,週邊/耗材,,,,,
EC MINI 按摩球 ,18,戶外休閒用品類,130,運動健身,按摩,,,,
EC BEATS FIT PRO ,21,3C類,143,手機/通訊/週邊,,,,,
115672 回饋金 ,7,鮮食類,44,米飯類,,,,,
艾美特智能大廈扇 ,19,家電類,135,生活家電,,,,,
#1445885 回饋金 ,7,鮮食類,44,米飯類,,,,,
綜合海鮮 ,8,烘焙/甜點類,59,其他甜食,,,,,
舒適調整座棕 ,15,日用百貨類,115,汽機車用品類,,,,,
#81989  回饋金 ,7,鮮食類,44,米飯類,,,,,
墨西哥綠蘆筍 ,21,3C類,144,桌機/筆電/平板,,,,,
貝禮詩櫻花白桃 ,16,洗浴清潔/保養類,121,身體清潔/保養,,,,,
IRC FOR #1308516 ,21,3C類,143,手機/通訊/週邊,5,,,,
SAVE TD 男外套 ,22,服飾鞋包類,154,男裝,男,,,,
愛爾康睛艷-6.50 ,12,保健食品類,80,醫材/藥品,,,,,
CLOROX 濃縮漂白水 ,15,日用百貨類,111,家庭清潔洗劑,濃縮,,,,
BROOKSTONE 瀝水架 ,15,日用百貨類,114,餐廚用品,,,,,
豬肉水餃（台豬） ,11,冷凍食品類,76,冷凍微波料理,豬,豬肉,水餃,餃,
#1544476 回饋金 ,7,鮮食類,44,米飯類,,,,,
COUPON 617732 ,21,3C類,143,手機/通訊/週邊,2,,,,
CARTERS嬰兒套組 ,16,洗浴清潔/保養類,121,身體清潔/保養,嬰兒,,,,
THAT'S IT 水果條 ,13,點心/零食類,81,餅乾,,,,,
#1437775回饋金 ,7,鮮食類,44,米飯類,,,,,
提拉米蘇巧克力派 ,8,烘焙/甜點類,59,其他甜食,巧克力,派,,,
BK-聽，什麼聲音 ,21,3C類,143,手機/通訊/週邊,,,,,
卡那脆薯條 ,13,點心/零食類,81,餅乾,薯條,,,,
3 層資料置物櫃 ,24,傢俱/家飾類,164,傢俱,,,,,
BK-COSTCO肉料理 ,19,家電類,134,廚房家電,料理,,,,
133773 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC 45LTE MKL33TA/A ,21,3C類,143,手機/通訊/週邊,5,,,,
#1467593  回饋金 ,7,鮮食類,44,米飯類,,,,,
PUMA女踝襪八雙入 ,22,服飾鞋包類,149,品牌鞋款,,,,,
EC SP 石榴櫻桃 ,13,點心/零食類,88,果乾,S,,,,
#1441837 回饋金 ,7,鮮食類,44,米飯類,,,,,
LC厚絨保暖隨意毯 ,24,傢俱/家飾類,163,寢具,,,,,
日式雞濃湯拉麵 ,14,民生食材類,99,各式麵條/拌麵,,,,,
72%黑巧克力 ,13,點心/零食類,92,巧克力,巧克力,黑,72,,
13 128G PINK ,21,3C類,143,手機/通訊/週邊,2,,,,
漂浮飛碟 3.0 ,21,3C類,146,相機/攝影/DV,3,,,,
CELESTE 女圍巾 ,22,服飾鞋包類,155,個人服飾配件,,,,,
冷凍熟蛤蠣肉 ,11,冷凍食品類,76,冷凍微波料理,冷凍,,,,
#1250045 回饋金 ,7,鮮食類,44,米飯類,,,,,
BK-STEAM圖鑑小百 ,20,書本/文教用品類,141,文教用品,,,,,
葡萄乾奶酥抹醬 ,13,點心/零食類,81,餅乾,酥,,,,
IRC FOR #131050 ,21,3C類,143,手機/通訊/週邊,5,,,,
#1246810回饋金 ,7,鮮食類,44,米飯類,,,,,
超級英雄摩托車組 ,20,書本/文教用品類,141,文教用品,,,,,
芒果百香金桔青茶 ,2,飲料類,10,果汁/果醋飲,,,,,
COUPON FOR #112845 ,21,3C類,143,手機/通訊/週邊,5,2,,,
EC 夢紅樓微塵眾 ,20,書本/文教用品類,139,書籍,,,,,
COUPON FOR #124751 ,21,3C類,143,手機/通訊/週邊,5,2,,,
義大利水果蛋糕 ,13,點心/零食類,81,餅乾,,,,,
爛泥怪彩色玩沙組 ,16,洗浴清潔/保養類,120,髮部清潔/保養,,,,,
44MM GPS MKQ53TA/A ,21,3C類,143,手機/通訊/週邊,5,,,,
L.V.特級紅酒2018 ,23,精品類,159,精品／飾品,,,,,
AIRMATE 對流暖器 ,18,戶外休閒用品類,130,運動健身,,,,,
SEMILLON/SAU白酒 ,26,禮盒類,176,禮盒,,,,,
CHENIN GRENACH ,21,3C類,143,手機/通訊/週邊,,,,,
ILLY中焙咖啡豆 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
WEATHERP.女背心 ,22,服飾鞋包類,153,女裝,,,,,
THOMAS TREND餐盤 ,15,日用百貨類,114,餐廚用品,,,,,
KS CALI. CHARD BIB ,21,3C類,143,手機/通訊/週邊,,,,,
#1250042回饋金 ,7,鮮食類,44,米飯類,,,,,
松露巧克力風味球 ,13,點心/零食類,92,巧克力,巧克力,球,風味,,
惜時純雞肉切條 ,17,寵物用品類,127,狗食,雞,肉,,,
LENOR 衣物芳香豆 ,15,日用百貨類,111,家庭清潔洗劑,芳香,衣物,豆,LENOR,
EC 13PRO M.NX 黑 ,18,戶外休閒用品類,130,運動健身,,,,,
SNOZU兒童外套 ,22,服飾鞋包類,152,童裝,S,,,,
COUPON FOR #221441 ,21,3C類,143,手機/通訊/週邊,2,,,,
3M ,19,家電類,134,廚房家電,,,,,
艾美特陶瓷電暖器 ,19,家電類,135,生活家電,,,,,
NEWPORT 洗手液 ,12,保健食品類,80,醫材/藥品,,,,,
COUPON FOR CAT:AZP ,21,3C類,143,手機/通訊/週邊,,,,,
EC 雀巢巧克力 #31 ,13,點心/零食類,92,巧克力,巧克力,,,,
EC VTECH 學步車 ,18,戶外休閒用品類,132,行李箱/配件,,,,,
小荳娃娃冰淇淋店 ,20,書本/文教用品類,141,文教用品,,,,,
洗衣槽清潔劑折價 ,15,日用百貨類,109,洗衣用具,洗衣,槽,劑,衣,
#205303回饋金 ,7,鮮食類,44,米飯類,,,,,
#133404回饋金 ,7,鮮食類,44,米飯類,,,,,
#109665 回饋金 ,7,鮮食類,44,米飯類,,,,,
COUPON FOR#130358 ,21,3C類,143,手機/通訊/週邊,5,,,,
COUPON FOR #79922 ,21,3C類,143,手機/通訊/週邊,2,,,,
FURLA SUN SFU429J ,21,3C類,143,手機/通訊/週邊,2,,,,
FY22醫護-領 ,22,服飾鞋包類,155,個人服飾配件,,,,,
日本蜜柑1KG ,16,洗浴清潔/保養類,120,髮部清潔/保養,日本,,,,
NAUTICA 女外套 ,22,服飾鞋包類,155,個人服飾配件,,,,,
PERSIL 洗衣露折價 ,15,日用百貨類,110,家庭清潔用品,L,,,,
#126948回饋金 ,7,鮮食類,44,米飯類,,,,,
#121206 回饋金 ,7,鮮食類,44,米飯類,,,,,
#118329 回饋金 ,7,鮮食類,44,米飯類,,,,,
#1056107回饋金 ,7,鮮食類,44,米飯類,,,,,
紅帽子法蘭酥 ,13,點心/零食類,94,其他零食,酥,法蘭,,,
五木營養麵條 ,14,民生食材類,99,各式麵條/拌麵,,,,,
嫩葉菠菜雞肉沙拉 ,7,鮮食類,48,生鮮蔬果/沙拉,,,,,
COUPON FOR #127166 ,21,3C類,143,手機/通訊/週邊,2,,,,
折價卷 ,20,書本/文教用品類,139,書籍,,,,,
坤松履歷大菇 300G ,14,民生食材類,103,米,大,,,,
薄酒萊新酒2021 ,26,禮盒類,176,禮盒,,,,,
米其林智能打氣機 ,15,日用百貨類,115,汽機車用品類,,,,,
COUPON FOR #79004 ,21,3C類,143,手機/通訊/週邊,,,,,
P&L 120PC混色 ,15,日用百貨類,108,民生紙品,1,,,,
ECBK- 日本語單字 ,20,書本/文教用品類,139,書籍,日,,,,
13 128G WHITE ,21,3C類,143,手機/通訊/週邊,2,,,,
#56879 拿鐵折價卷 ,2,飲料類,8,茶飲,5,,,,
RBK-香料共和國 ,20,書本/文教用品類,139,書籍,,,,,
EBISU 48 牙刷加寬 ,16,洗浴清潔/保養類,122,口腔保健,牙刷,,,,
EC BK- 完美公主 ,20,書本/文教用品類,139,書籍,,,,,
SUNBEAM 電熱披肩 ,12,保健食品類,80,醫材/藥品,,,,,
#128695回饋金 ,7,鮮食類,44,米飯類,,,,,
KS男襪4入組 ,16,洗浴清潔/保養類,124,男性用品/保養,,,,,
PURELUX舒適枕 ,24,傢俱/家飾類,163,寢具,,,,,
#123978 回饋金 ,7,鮮食類,44,米飯類,,,,,
白蘿蔔1.5KG ,10,生鮮食品類,62,生鮮蔬菜,蔔,,,,
ORVIS男背心 ,22,服飾鞋包類,154,男裝,男,,,,
KS單焦1.67藍光 ,21,3C類,143,手機/通訊/週邊,藍,,,,
13 PM 256G BLUE ,21,3C類,143,手機/通訊/週邊,5,2,,,
FILA 女束口褲 ,22,服飾鞋包類,153,女裝,,,,,
# ２ 81 EC 回饋金 ,7,鮮食類,44,米飯類,,,,,
STARBUCKS COUPON ,21,3C類,143,手機/通訊/週邊,,,,,
三星A7 LITE 64G ,17,寵物用品類,129,寵物用品,L,,,,
魔術方塊延長線 ,21,3C類,147,週邊/耗材,,,,,
124314 回饋金 ,7,鮮食類,44,米飯類,,,,,
NAUTICA 男外套 ,22,服飾鞋包類,155,個人服飾配件,,,,,
威德適立佳回饋金 ,12,保健食品類,78,保健/養生,,,,,
#127210   回饋金 ,7,鮮食類,44,米飯類,,,,,
45GPS MKN73TA/A ,21,3C類,143,手機/通訊/週邊,5,,,,
FILA兒童長袖套組 ,22,服飾鞋包類,152,童裝,,,,,
COUPON FOR #750480 ,21,3C類,143,手機/通訊/週邊,5,,,,
DKNY 女長版外套 ,22,服飾鞋包類,153,女裝,,,,,
回饋金 #129819 ,22,服飾鞋包類,155,個人服飾配件,,,,,
32 DEGREES 保暖衣 ,22,服飾鞋包類,156,運動機能服飾,,,,,
EC 一氧化碳警報器 ,19,家電類,135,生活家電,,,,,
MAG-DESIGN ANTHOLO ,21,3C類,143,手機/通訊/週邊,,,,,
LEGO移動式起重機 ,19,家電類,135,生活家電,,,,,
#1465573 回饋金 ,7,鮮食類,44,米飯類,,,,,
KENNETH C.女外套 ,22,服飾鞋包類,153,女裝,,,,,
俏正美BB PLUS ,22,服飾鞋包類,150,流行鞋襪,,,,,
129602 回饋金 ,7,鮮食類,44,米飯類,,,,,
