name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
興家冷氣清潔劑 ,15,日用百貨類,111,家庭清潔洗劑,清潔劑,清潔,劑,,
龍和擋書架2PK ,20,書本/文教用品類,139,書籍,,,,,
ON PROTEIN回饋金 ,7,鮮食類,44,米飯類,,,,,
關山一級御用米 ,14,民生食材類,103,米,,,,,
ON分離乳清香草 ,16,洗浴清潔/保養類,123,彩妝/卸妝,,,,,
焦糖海鹽霜淇淋 ,6,冰品類,31,現做霜淇淋/聖代,,,,,
LUCKY童服兩件組 ,22,服飾鞋包類,152,童裝,,,,,
富士蘋果2.4 KG ,10,生鮮食品類,63,生鮮水果,,,,,
台灣帶皮五花豬肉 ,13,點心/零食類,83,肉乾/肉紙,,,,,
NAUTICA男襯衫 ,22,服飾鞋包類,155,個人服飾配件,,,,,
REEBOK男短袖上衣 ,22,服飾鞋包類,154,男裝,男,短袖,,,
PERSIL洗衣膠囊 ,15,日用百貨類,112,衣物清潔,洗衣,膠囊,,,
台灣豬小里肌 ,20,書本/文教用品類,139,書籍,,,,,
翠果子綜合米果 ,13,點心/零食類,82,堅果,綜合,果,米果,,
BF薄荷岩鹽檸檬糖 ,13,點心/零食類,91,糖果,糖,薄荷,,,
薯格格酸奶洋蔥味 ,13,點心/零食類,81,餅乾,味,,,,
藜麥椒鹽蘇打餅 ,13,點心/零食類,81,餅乾,藜,麥,,,
#594931 ,21,3C類,143,手機/通訊/週邊,5,,,,
GLIDE牙線6入 ,16,洗浴清潔/保養類,122,口腔保健,入,,,,
#133735回饋金 ,7,鮮食類,44,米飯類,,,,,
辣椒起司洋芋片 ,13,點心/零食類,81,餅乾,洋芋片,起司,辣椒,洋芋,
貝思寶兒蜜桃果茶 ,2,飲料類,8,茶飲,茶,蜜,,,
ADIDAS男短褲 ,22,服飾鞋包類,154,男裝,男,褲,短褲,,
樂事黑松露洋芋片 ,13,點心/零食類,81,餅乾,洋芋片,樂事,洋芋,,
