name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
特大杯熱咖啡密斯朵20230114h5fk3ubm,1,咖啡類,1,現做咖啡飲品,咖啡,杯,特大,大,熱
蘇菲極淨肌天然草本抑菌潔翼11片26cm,16,洗浴清潔/保養類,119,女性衛生用品,片,2,抑菌,,
妙管家護色有酵洗衣精4000g,15,日用百貨類,111,家庭清潔洗劑,洗衣,精,,,
安心紅豬肉梅花火鍋片 ,11,冷凍食品類,72,冷凍肉品,火鍋片,梅花,豬,肉,火鍋
TOSHIBA東芝13公斤變頻直立式洗衣機,19,家電類,133,大型家電,變頻,直立,,,
裸鑽初次雪莉桶蘇格蘭威士忌700M,25,菸酒類,168,威士忌,威士忌,蘭,格,蘇,格蘭
