mid,pma_no_fin,qty,avg_qty,aov,cv_ratio,cv,rfm_recency,rfm_frequency,rfm_monetary_sum,rfm_monetary,weekday,weekend,midnight,morning,noon,afternoon,night,area_01,area_02,area_03,area_04,area_05,area_06,area_07,area_09,area_10,area_11,age,home_city,gender
0000a848565f4553aaa5f26efd920ad6,14,1,1,25,1,25,2,1,25,25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,null,,
0000e514e14a45d0ba68974911e83aac,29,1,1,20,0.091,1.8199999999999998,4,1,20,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,,F
0000e514e14a45d0ba68974911e83aac,34,1,1,1,0.091,0.091,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,,F
0000e514e14a45d0ba68974911e83aac,41,6,2,24.830000000000002,0.545,13.532350000000003,0,3,148.98000000000002,49.660000000000004,1,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,30,,F
0000e514e14a45d0ba68974911e83aac,43,1,1,35,0.091,3.185,0,1,35,35,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,,F
0000e514e14a45d0ba68974911e83aac,65,2,2,33,0.182,6.006,4,1,66,66,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,,F
0000f1bb0eed48c786a8b29ad5d3ffdc,46,1,1,45,1,45,4,1,45,45,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,null,,
0000fd433ae245ef9788b9c5a571e3d7,34,1,1,1,0.25,0.25,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,null,,
0000fd433ae245ef9788b9c5a571e3d7,41,1,1,55,0.25,13.75,4,1,55,55,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,null,,
0000fd433ae245ef9788b9c5a571e3d7,65,2,2,49,0.5,24.5,4,1,98,98,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,null,,
000110540204432c97c0557717bd457d,23,2,2,55,0.4,22,3,1,110,110,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,33, ,M
000110540204432c97c0557717bd457d,30,1,1,65,0.2,13,3,1,65,65,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33, ,M
000110540204432c97c0557717bd457d,41,1,1,33,0.2,6.6000000000000005,3,1,33,33,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33, ,M
000110540204432c97c0557717bd457d,65,1,1,69,0.2,13.8,3,1,69,69,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33, ,M
00012cfdb5464193aceff040a0407921,38,16,2,100,0.33299999999999996,33.3,0,8,1600,200,0,1,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,60, ,M
00012cfdb5464193aceff040a0407921,43,16,2,25,0.33299999999999996,8.325,0,8,400,50,0,1,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,60, ,M
00012cfdb5464193aceff040a0407921,46,16,2.29,19.56,0.33299999999999996,6.513479999999999,0,7,312.96,44.708571428571425,1,1,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,60, ,M
00013cb0490b4706b048875c965c18df,46,2,1,70,0.667,46.690000000000005,3,2,140,70,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,49, ,M
00013cb0490b4706b048875c965c18df,76,1,1,35,0.33299999999999996,11.655,1,1,35,35,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,49, ,M
000145328f7a49419d08188b86c90d01,14,5,1.67,29,0.098,2.842,1,3,145,48.333333333333336,0,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,27,1,1,30,0.02,0.6,1,1,30,30,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,29,6,6,9,0.11800000000000002,1.0620000000000003,6,1,54,54,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,34,2,1,1,0.039,0.039,1,2,2,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,38,5,1,100,0.098,9.8,1,5,500,100,1,0,2,0,3,0,0,4,0,1,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,41,2,2,33.5,0.039,1.3065,5,1,67,67,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,43,14,1.75,29.5,0.275,8.1125,0,8,413,51.625,1,0,3,0,2,0,3,6,0,1,1,0,0,1,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,46,13,1.3,38.08,0.255,9.7104,0,10,495.03999999999996,49.504,0,1,2,0,6,2,0,9,0,0,1,0,0,0,0,0,0,38, ,M
